location_aaq,Date,NOx,PM2.5,Toluene,Benzene,SO2,Xylene,Ozone,PM10,NH3,CO
KUDA,2016-07-01,22.0,,,,7.0,,,51.0,18.0,
" Mee-Seva, Warangal ",2016-07-01,20.0,,,,7.0,,,,24.0,
Balasamudram,2016-07-01,15.0,,,,6.0,,,64.0,,
Nakkalagutta,2016-07-01,17.0,,,,7.0,,,57.0,,
Godavarikhani,2016-07-01,23.0,,,,7.0,,,23.0,18.0,
" DIC building, Karimnagar",2016-07-01,20.0,,,,4.0,,,,23.0,
"CER Club, Kothagudem",2016-07-01,24.0,,,,8.0,,,37.0,21.0,
Jalasouda ,2016-07-01,22.0,,,,8.0,,,41.0,22.0,
Kothur,2016-07-01,35.0,,,,8.0,,,61.0,46.0,
R.C.Puram,2016-07-01,26.0,15.0,,,5.0,,,48.0,21.0,
Bollaram,2016-07-01,24.0,,,,13.0,,,190.0,,
Sangareddy,2016-07-01,21.0,24.0,,,5.0,,,50.0,21.0,
PETL,2016-07-01,24.0,,,,12.0,,,74.0,,
Gaddapotharam,2016-07-01,25.0,23.0,,,6.0,,,44.0,21.0,
"Nalgonda RO, Building",2016-07-01,26.0,,,,6.0,,,54.0,21.0,
"Choutuppal, Nalgonda",2016-07-01,27.0,,,,6.0,,,61.0,23.0,
Subhasnagar/  Nizamabad,2016-07-01,17.0,,,,4.0,,,57.0,,
Adilabad/ Mandamarri,2016-07-01,16.0,,,,4.0,,,60.0,21.0,
"Balanagar , CITD office ",2016-08-01,25.8,43.0,,,4.8,,,108.0,67.0,
"Uppal, Modern food Industry, IDA",2016-08-01,25.6,28.0,,,4.8,,,67.0,63.0,
"Jubilee Hills, Police station",2016-08-01,29.1,33.0,,,4.5,,,79.0,79.0,
"Paradise, HMWS &SB Pump house ",2016-08-01,30.2,,,,4.8,,,105.0,75.0,
"Charminar, TSRTC bus station ",2016-08-01,25.6,35.0,,,4.6,,,85.0,70.0,
"Jeedimetla, Industrial Association building",2016-08-01,26.9,,,,4.8,,,76.0,70.0,
"Buddha Purnima Project office, Tank Bund",2016-08-01,18.1,,,,4.4,,,,,
"MGBS, Bus stand ",2016-08-01,20.2,,,,4.8,,,54.0,,
"Chikkadapally, Lepakshi Emporium ",2016-08-01,22.2,,,,4.9,,,78.0,,
"Langar House, Police Station ",2016-08-01,21.4,,,,4.7,,,64.0,,
"Madhapur, Shilpa Kalavedika ",2016-08-01,18.0,,,,4.5,,,49.0,,
"Shameerpet, MRO office",2016-08-01,15.5,,,,4.5,,,75.0,,
"Kukatpally, JNTU",2016-08-01,23.8,,,,4.7,,,65.0,,
"Sainikpuri,  MRO office ",2016-08-01,17.9,,,,4.7,,,73.0,,
"Rajendranaga, NG Rang Agricultural University ",2016-08-01,16.4,,,,,,,60.0,,
"Nacharam, Police station ",2016-08-01,21.2,,,,5.2,,,68.0,,
"Abids, Police station ",2016-08-01,22.0,,,,4.8,,,77.0,,
"KBRN Park, DFO office ",2016-08-01,17.1,,,,4.4,,,39.0,,
Punjagutta,2016-08-01,,,,,,,,,,
Sanathnagar,2016-08-01,24.03859,10.29435,3.610294,0.4595243,6.195295,0.3392734,20.8,,,0.4
HCU,2016-08-01,29.74674,10.85432,0.9083892,0.1242782,4.988065,2.994694,12.27337,31.3566,14.47275,0.7516293
Zoopark,2016-08-01,17.89061,17.91037,10.8,1.3,8.928455,10.5,10.3,38.27944,16.53539,0.47
Pashamylaram,2016-08-01,75.53783,12.43079,1.639966,0.07392137,4.301424,1.670872,15.48519,43.81779,10.4171,0.835825
KUDA,2016-08-01,20.0,,,,6.0,,,44.0,20.0,
" Mee-Seva, Warangal ",2016-08-01,28.0,,,,7.0,,,,22.0,
Balasamudram,2016-08-01,9.5,,,,5.5,,,58.0,,
Nakkalagutta,2016-08-01,10.0,,,,5.0,,,60.0,,
Godavarikhani,2016-08-01,25.0,,,,7.0,,,41.0,21.0,
" DIC building, Karimnagar",2016-08-01,20.0,,,,6.0,,,,21.0,
"CER Club, Kothagudem",2016-08-01,17.0,,,,5.0,,,45.0,21.0,
